date,open,high,low,close,volume,change
01-Nov-2022,493.74,494.00,486.08,492.37,"441,907",7.09
31-Oct-2022,488.00,488.00,481.00,485.28,"121,323",4.63
28-Oct-2022,494.90,494.99,478.23,480.65,"214,640",-12.43
27-Oct-2022,493.00,499.39,491.00,493.08,"341,537",-4.50
26-Oct-2022,503.25,506.92,494.50,497.58,"376,343",-10.43
25-Oct-2022,513.50,513.50,506.00,508.01,"212,600",-3.02
24-Oct-2022,518.00,518.00,510.51,511.03,"383,022",-1.87
21-Oct-2022,513.99,514.90,508.10,512.90,"186,343",0.82
20-Oct-2022,516.00,516.00,512.00,512.08,"241,117",-1.64
19-Oct-2022,513.00,515.90,510.50,513.72,"367,204",4.03
18-Oct-2022,511.52,515.49,506.99,509.69,"411,611",-0.73
17-Oct-2022,514.89,514.90,509.70,510.42,"391,201",-1.99
14-Oct-2022,516.99,516.99,511.01,512.41,"206,757",-0.16
13-Oct-2022,514.01,517.09,510.90,512.57,"186,571",-0.93
12-Oct-2022,515.50,520.00,512.00,513.50,"332,291",0.06
11-Oct-2022,516.00,517.10,510.20,513.44,"333,827",-1.15
10-Oct-2022,514.00,517.50,510.50,514.59,"507,865",2.73
07-Oct-2022,510.90,520.90,510.15,511.86,"822,970",-1.18
06-Oct-2022,519.98,523.00,512.13,513.04,"653,310",-3.72
05-Oct-2022,510.00,518.89,507.80,516.76,"1,329,524",10.83
04-Oct-2022,496.20,511.00,495.33,505.93,"1,609,707",11.70
03-Oct-2022,498.89,498.89,492.05,494.23,"170,261",-2.33
30-Sep-2022,501.00,507.90,491.11,496.56,"835,599",-6.43
29-Sep-2022,497.79,505.99,492.00,502.99,"995,720",7.00
28-Sep-2022,495.90,503.50,494.05,495.99,"777,218",2.45
27-Sep-2022,490.00,498.65,486.00,493.54,"1,110,075",7.61
26-Sep-2022,481.00,493.00,470.00,485.93,"1,735,483",6.28
23-Sep-2022,493.90,494.05,477.05,479.65,"338,111",-8.58
22-Sep-2022,480.00,489.74,473.05,488.23,"512,471",4.80
21-Sep-2022,494.99,495.99,481.00,483.43,"428,667",-9.35
20-Sep-2022,503.90,503.98,491.50,492.78,"427,174",-9.21
19-Sep-2022,511.69,511.69,500.00,501.99,"170,532",-6.18
16-Sep-2022,511.08,515.20,506.80,508.17,"411,918",-2.80
