date,open,high,low,close,volume,change
01-Nov-2022,120.55,121.99,120.55,121.02,"119,105",-0.64
31-Oct-2022,119.46,122.40,119.46,121.66,"118,912",1.15
28-Oct-2022,120.99,120.99,119.75,120.51,"70,661",0.02
27-Oct-2022,120.50,121.05,119.65,120.49,"113,513",0.35
26-Oct-2022,119.25,120.70,118.49,120.14,"345,420",1.14
25-Oct-2022,117.50,119.50,117.50,119.00,"118,092",0.00
24-Oct-2022,119.40,120.10,118.71,119.00,"113,709",0.39
21-Oct-2022,117.44,119.44,116.00,118.61,"3,213,735",1.96
20-Oct-2022,117.00,117.88,116.50,116.65,"160,996",-0.69
19-Oct-2022,116.88,118.25,116.88,117.34,"108,886",1.09
18-Oct-2022,116.51,116.99,115.77,116.25,"141,045",-0.26
17-Oct-2022,117.40,117.40,116.02,116.51,"134,148",-0.50
14-Oct-2022,116.98,117.25,116.25,117.01,"139,756",0.72
13-Oct-2022,116.99,117.10,116.05,116.29,"104,748",0.18
12-Oct-2022,116.11,117.25,115.00,116.11,"93,319",-0.39
11-Oct-2022,117.50,117.75,116.02,116.50,"60,489",-0.50
10-Oct-2022,117.32,118.39,116.91,117.00,"172,224",-0.04
07-Oct-2022,117.89,117.89,115.90,117.04,"214,172",-0.02
06-Oct-2022,117.78,117.78,116.52,117.06,"190,928",0.46
05-Oct-2022,116.91,117.49,116.00,116.60,"564,685",-0.31
04-Oct-2022,120.50,120.90,116.50,116.91,"367,159",-2.09
03-Oct-2022,118.02,120.76,118.02,119.00,"1,020,195",-0.51
30-Sep-2022,117.01,119.99,117.01,119.51,"236,449",1.35
29-Sep-2022,119.73,119.98,117.95,118.16,"520,693",-1.57
28-Sep-2022,120.10,122.50,119.05,119.73,"303,537",-0.05
27-Sep-2022,117.83,120.00,117.80,119.78,"862,897",2.08
26-Sep-2022,116.50,118.25,116.50,117.70,"603,681",0.67
23-Sep-2022,117.00,118.02,116.50,117.03,"305,851",0.21
22-Sep-2022,119.29,119.29,115.55,116.82,"229,179",-0.68
21-Sep-2022,116.52,118.25,116.52,117.50,"64,881",0.26
20-Sep-2022,118.96,118.96,116.16,117.24,"91,919",-0.83
19-Sep-2022,118.00,118.89,117.81,118.07,"131,679",0.10
16-Sep-2022,120.49,120.49,117.79,117.97,"439,518",-1.35
15-Sep-2022,120.50,120.50,118.73,119.32,"1,058,945",-0.61
14-Sep-2022,120.98,120.98,119.61,119.93,"149,342",-0.34
13-Sep-2022,120.60,120.99,119.00,120.27,"171,944",0.50
12-Sep-2022,119.23,120.84,119.23,119.77,"51,344",-0.37
09-Sep-2022,120.82,120.82,119.51,120.14,"96,986",0.71
