date,open,high,low,close,volume,change
01-Nov-2022,"5,800.00","5,800.00","5,800.00","5,800.00",20,100.00
31-Oct-2022,"5,899.99","5,899.99","5,700.00","5,700.00",60,-195.00
28-Oct-2022,"5,980.00","5,980.00","5,980.00","5,980.00",20,0.00
27-Oct-2022,"5,990.00","5,990.00","5,980.00","5,980.00",40,-30.00
25-Oct-2022,"6,150.00","6,200.00","6,010.00","6,010.00","1,280",2.50
24-Oct-2022,"5,999.99","6,010.00","5,999.99","6,007.50",440,7.50
21-Oct-2022,"6,000.00","6,000.00","6,000.00","6,000.00",20,0.00
20-Oct-2022,"6,200.00","6,200.00","6,000.00","6,000.00",160,0.00
19-Oct-2022,"6,000.00","6,050.00","5,920.00","6,000.00",600,150.00
18-Oct-2022,"5,850.00","5,850.00","5,850.00","5,850.00",20,-150.00
17-Oct-2022,"6,000.00","6,000.00","6,000.00","6,000.00",40,0.00
14-Oct-2022,"6,000.00","6,000.00","6,000.00","6,000.00",40,20.00
12-Oct-2022,"6,000.00","6,000.00","5,980.00","5,980.00",40,200.00
11-Oct-2022,"5,800.00","5,800.00","5,780.00","5,780.00",40,-70.00
10-Oct-2022,"5,869.00","5,869.00","5,775.00","5,850.00",960,100.00
06-Oct-2022,"5,581.00","5,750.00","5,500.00","5,750.00",160,50.00
04-Oct-2022,"5,700.00","5,700.00","5,700.00","5,700.00",40,0.00
27-Sep-2022,"5,700.00","5,700.00","5,700.00","5,700.00",20,100.00
26-Sep-2022,"5,700.00","5,700.00","5,600.00","5,600.00",240,-105.00
23-Sep-2022,"5,705.00","5,705.00","5,705.00","5,705.00",60,55.00
22-Sep-2022,"5,650.00","5,650.00","5,650.00","5,650.00",20,0.00
20-Sep-2022,"5,650.00","5,650.00","5,650.00","5,650.00",20,-10.00
15-Sep-2022,"5,700.00","5,750.00","5,660.00","5,660.00",140,-40.00
14-Sep-2022,"5,700.00","5,700.00","5,700.00","5,700.00",100,-60.00
13-Sep-2022,"5,760.00","5,760.00","5,760.00","5,760.00",20,0.00
09-Sep-2022,"5,760.00","5,760.00","5,760.00","5,760.00",40,0.00
08-Sep-2022,"5,760.00","5,760.00","5,760.00","5,760.00",20,0.00
07-Sep-2022,"5,760.00","5,760.00","5,760.00","5,760.00",20,-4.99
02-Sep-2022,"5,638.13","5,764.99","5,620.00","5,764.99",160,35.99
01-Sep-2022,"5,780.00","5,800.00","5,711.00","5,729.00",200,-70.99
31-Aug-2022,"5,736.01","5,802.03","5,736.01","5,799.99",160,0.00
30-Aug-2022,"5,790.02","5,799.99","5,790.02","5,799.99",40,9.97
29-Aug-2022,"5,800.00","5,957.56","5,770.05","5,790.02",480,-309.98
26-Aug-2022,"6,481.00","6,481.00","6,081.00","6,100.00",100,30.00
24-Aug-2022,"6,025.00","6,070.00","6,025.00","6,070.00",40,-127.00
23-Aug-2022,"6,100.00","6,199.00","6,100.00","6,197.00",480,242.00
22-Aug-2022,"6,100.00","6,100.00","5,955.00","5,955.00",360,-45.00
19-Aug-2022,"6,140.00","6,140.00","6,000.00","6,000.00",240,0.00
17-Aug-2022,"6,000.00","6,000.00","6,000.00","6,000.00",40,-150.00
15-Aug-2022,"6,050.00","6,150.01","6,050.00","6,150.00",540,250.00
12-Aug-2022,"6,240.00","6,240.00","5,900.00","5,900.00",80,-200.00
11-Aug-2022,"6,199.00","6,199.00","6,100.00","6,100.00",80,45.00
10-Aug-2022,"6,050.02","6,248.99","6,050.02","6,055.00",80,-130.00
05-Aug-2022,"6,100.00","6,185.00","6,100.00","6,185.00",100,190.10
04-Aug-2022,"6,199.99","6,200.00","5,966.01","6,149.90",140,-20.10
03-Aug-2022,"5,994.50","6,170.00","5,994.50","6,170.00",100,175.50
02-Aug-2022,"6,000.00","6,185.00","5,900.00","5,994.50",480,-295.50
01-Aug-2022,"6,300.00","6,300.00","6,200.00","6,290.00",60,400.00
27-Jul-2022,"6,000.00","6,000.00","5,850.00","5,890.00",100,-108.13
26-Jul-2022,"5,990.00","6,000.00","5,990.00","5,998.13",160,96.13
21-Jul-2022,"5,900.00","5,902.00","5,900.00","5,902.00",60,-78.00
19-Jul-2022,"5,850.00","5,980.00","5,850.00","5,980.00",300,37.50
15-Jul-2022,"5,800.01","5,950.00","5,800.01","5,942.50",120,-57.50
14-Jul-2022,"5,900.00","6,000.00","5,900.00","6,000.00",360,150.00
07-Jul-2022,"5,850.00","5,850.00","5,850.00","5,850.00",20,190.00
05-Jul-2022,"5,660.00","5,660.00","5,660.00","5,660.00",20,-140.00
04-Jul-2022,"5,800.00","5,800.10","5,800.00","5,800.00",160,0.00
29-Jun-2022,"5,800.00","5,800.00","5,800.00","5,800.00",20,-190.00
28-Jun-2022,"5,990.00","5,990.00","5,990.00","5,990.00",20,290.00
24-Jun-2022,"5,700.00","5,700.00","5,700.00","5,700.00",20,-200.08
22-Jun-2022,"5,880.00","5,950.00","5,850.15","5,900.08",140,20.08
16-Jun-2022,"5,800.00","5,900.00","5,800.00","5,880.00",300,104.90
10-Jun-2022,0.00,"5,775.10","5,775.10","5,775.10",20,0.00
09-Jun-2022,"5,800.00","5,825.00","5,775.10","5,775.10",140,-24.90
08-Jun-2022,"5,700.00","5,800.00","5,700.00","5,800.00","1,120",149.98
07-Jun-2022,"5,650.02","5,650.02","5,650.02","5,650.02",20,-9.98
03-Jun-2022,"5,620.01","5,660.00","5,620.01","5,660.00",60,-15.00
