date,open,high,low,close,volume,change
18-Oct-2022,"26,000.00","26,000.00","26,000.00","26,000.00",20,0.00
17-Oct-2022,"26,000.00","26,000.00","26,000.00","26,000.00",20,50.50
10-Oct-2022,"25,100.00","25,999.00","25,100.00","25,949.50",60,449.50
06-Oct-2022,"25,500.00","25,500.00","25,500.00","25,500.00",20,0.00
05-Oct-2022,"25,500.00","25,500.00","25,500.00","25,500.00",40,500.00
04-Oct-2022,"25,000.00","25,000.00","25,000.00","25,000.00",20,0.00
30-Sep-2022,"25,000.00","25,000.00","25,000.00","25,000.00",20,0.00
28-Sep-2022,"25,000.00","25,000.00","25,000.00","25,000.00",80,0.00
26-Sep-2022,"25,000.00","25,000.00","25,000.00","25,000.00",80,0.00
22-Sep-2022,"25,000.00","25,000.00","25,000.00","25,000.00",40,0.00
21-Sep-2022,"25,000.00","25,000.00","25,000.00","25,000.00",20,0.00
16-Sep-2022,"25,000.00","25,000.00","25,000.00","25,000.00",20,0.00
12-Sep-2022,"25,000.00","25,000.00","25,000.00","25,000.00",20,-500.00
09-Sep-2022,"25,000.00","25,500.00","25,000.00","25,500.00",60,500.00
05-Sep-2022,"25,000.00","25,000.00","25,000.00","25,000.00",140,0.00
31-Aug-2022,"25,000.00","25,000.00","25,000.00","25,000.00",20,0.00
22-Aug-2022,"25,000.00","25,000.00","25,000.00","25,000.00",20,0.00
17-Aug-2022,"25,000.00","25,000.00","25,000.00","25,000.00",100,0.00
15-Aug-2022,"25,000.00","25,000.00","25,000.00","25,000.00",20,0.00
11-Aug-2022,"25,500.00","25,500.00","25,000.00","25,000.00",80,500.00
25-Jul-2022,"24,500.00","24,500.00","24,500.00","24,500.00",20,250.00
21-Jul-2022,"24,250.00","24,250.00","24,250.00","24,250.00",20,0.50
06-Jul-2022,"23,000.00","24,299.00","23,000.00","24,249.50",60,249.50
05-Jul-2022,"24,000.00","24,000.00","24,000.00","24,000.00",20,"-1,400.00"
27-Jun-2022,0.00,0.00,0.00,"25,400.00",0,-250.00
22-Jun-2022,0.00,"25,650.00","25,650.00","25,650.00",20,0.00
21-Jun-2022,0.00,"25,650.00","25,650.00","25,650.00",40,0.00
20-Jun-2022,0.00,0.00,0.00,"25,650.00",0,-150.00
17-Jun-2022,"25,800.00","25,800.00","25,800.00","25,800.00",20,"1,800.00"
15-Jun-2022,"25,400.00","25,490.00","24,000.00","24,000.00",80,-600.00
14-Jun-2022,"24,500.00","24,700.00","24,500.00","24,600.00",40,"1,600.00"
13-Jun-2022,"23,000.00","23,000.00","23,000.00","23,000.00",20,"-1,800.00"
09-Jun-2022,"24,800.00","24,800.00","24,800.00","24,800.00",20,-100.00
03-Jun-2022,"24,900.00","24,900.00","24,900.00","24,900.00",20,-100.00
02-Jun-2022,0.00,"25,000.00","25,000.00","25,000.00",20,0.00
31-May-2022,"25,000.00","25,000.00","25,000.00","25,000.00",20,0.00
